Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
63;16.08.2020;Borgentreich;3;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
64;19.08.2020;Lage;0;Links;STGB-303;Sachbeschädigung;AfD
65;15.08.2020;Bielefeld;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
66;15.08.2020;Harsewinkel;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
67;18.08.2020;Höxter;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
68;13.08.2020;Höxter;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
69;16.08.2020;Borgentreich;0;Nicht zuzuordnen;STGB-242;Diebstahl;SPD
70;13.08.2020;Borgentreich;0;Nicht zuzuordnen;STGB-242;Diebstahl;SPD
71;15.08.2020;Harsewinkel;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
72;02.08.2020;Espelkamp;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
73;10.08.2020;Paderborn;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
74;10.08.2020;Paderborn;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;AfD
75;18.08.2020;Warburg;0;Nicht zuzuordnen;STGB-304;Gemeinschädliche Sachbeschädigung;SPD
76;24.08.2020;Höxter;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
77;30.08.2020;Porta Westfalica;0;Nicht zuzuordnen;STGB-304;Gemeinschädliche Sachbeschädigung;SPD, Sonstige Partei, AfD, DIE LINKE.
78;05.08.2020;Horn-Bad Meinberg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
79;18.08.2020;Detmold;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;AfD
80;05.08.2020;Bad Wünnenberg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;DIE LINKE.
81;23.08.2020;Willebadessen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
82;01.09.2020;Höxter;0;Links;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
83;25.08.2020;Bad Driburg;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
84;29.08.2020;Kirchlengern;0;Nicht zuzuordnen;STGB-242;Diebstahl;Bündnis 90/Die Grünen, SPD
85;30.08.2020;Höxter;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
86;30.08.2020;Höxter;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
87;03.09.2020;Höxter;0;Nicht zuzuordnen;STGB-130;Volksverhetzung;Bündnis 90/Die Grünen
88;03.08.2020;Horn-Bad Meinberg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
89;29.08.2020;Gütersloh;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
90;05.09.2020;Bad Wünnenberg;0;Nicht zuzuordnen;STGB-242;Diebstahl;Bündnis 90/Die Grünen
91;23.08.2020;Bad Salzuflen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
92;30.08.2020;Espelkamp;0;Rechts;STGB-303;Sachbeschädigung;DIE LINKE.
93;10.08.2020;Bad Driburg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
94;03.09.2020;Höxter;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
95;05.09.2020;Höxter;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
96;01.09.2020;Petershagen;0;Nicht zuzuordnen;STGB-242;Diebstahl;AfD
97;04.09.2020;Minden;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
98;08.09.2020;Borgentreich;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
99;05.08.2020;Bochum;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;Sonstige Partei
100;19.08.2020;Bochum;0;Links;STGB-111;Öffentliche Aufforderung zu Straftaten;keine Angabe
