,plz,year,pop,female,density,degree_urban,size,share_fem
229,74632.0,2014,6391.0,3139.0,134,mittlere Besiedlungsdichte,"47,84",0.49115944296667186
230,74638.0,2014,2976.0,1477.0,94,gering besiedelt,"31,55",0.4963037634408602
231,74677.0,2014,2448.0,1239.0,76,gering besiedelt,"32,36",0.5061274509803921
232,74238.0,2014,4526.0,2171.0,86,gering besiedelt,"52,92",0.4796730004418913
233,74673.0,2014,3705.0,1765.0,46,gering besiedelt,"80,08",0.47638326585695007
234,74653.0,2014,5532.0,2806.0,119,mittlere Besiedlungsdichte,"46,48",0.5072306579898771
235,74653.0,2014,14926.0,7469.0,199,mittlere Besiedlungsdichte,"75,17",0.5004019831167091
236,74670.0,2014,4933.0,2445.0,130,gering besiedelt,"38,08",0.49564159740523006
237,74676.0,2014,3925.0,1936.0,222,mittlere Besiedlungsdichte,"17,71",0.4932484076433121
238,74679.0,2014,2028.0,1030.0,159,mittlere Besiedlungsdichte,"12,77",0.5078895463510849
239,74613.0,2014,22949.0,11645.0,339,mittlere Besiedlungsdichte,"67,78",0.5074295176260404
240,74629.0,2014,9108.0,4585.0,221,mittlere Besiedlungsdichte,"41,3",0.5034036012296882
241,74639.0,2014,1669.0,814.0,52,gering besiedelt,"32,1",0.487717195925704
242,74572.0,2014,5174.0,2457.0,57,gering besiedelt,"90,18",0.4748743718592965
243,74535.0,2014,5864.0,2967.0,100,gering besiedelt,"58,69",0.505968622100955
244,74575.0,2014,5669.0,2779.0,54,gering besiedelt,"105,21",0.49020991356500265
245,74542.0,2014,2455.0,1219.0,46,gering besiedelt,"52,85",0.4965376782077393
246,74547.0,2014,2887.0,1427.0,106,gering besiedelt,"27,14",0.49428472462764117
247,74564.0,2014,33209.0,16565.0,304,mittlere Besiedlungsdichte,"109,08",0.49881056340148755
248,74589.0,2014,5251.0,2552.0,114,gering besiedelt,"46,21",0.48600266615882687
249,74586.0,2014,4795.0,2333.0,69,gering besiedelt,"69,87",0.48654848800834205
250,74597.0,2014,2991.0,1432.0,90,gering besiedelt,"33,35",0.47876964226011365
251,74594.0,2014,3871.0,1906.0,80,gering besiedelt,"48,45",0.4923792301730819
252,74579.0,2014,4543.0,2265.0,145,gering besiedelt,"31,28",0.4985692273827867
253,74582.0,2014,4177.0,2072.0,103,gering besiedelt,"40,38",0.4960497965046684
254,74595.0,2014,1735.0,843.0,55,gering besiedelt,"31,4",0.48587896253602303
255,74532.0,2014,6259.0,3076.0,114,gering besiedelt,"54,87",0.49145230867550727
256,74541.0,2014,4307.0,2146.0,135,gering besiedelt,"31,88",0.4982586487114
257,74549.0,2014,2066.0,1021.0,75,gering besiedelt,"27,42",0.4941916747337851
258,74427.0,2014,2822.0,1394.0,117,gering besiedelt,"24,19",0.4939759036144578
259,74405.0,2014,12084.0,6156.0,193,mittlere Besiedlungsdichte,"62,57",0.5094339622641509
260,74420.0,2014,3569.0,1808.0,94,gering besiedelt,"37,92",0.5065844774446624
261,74429.0,2014,2514.0,1235.0,57,gering besiedelt,"43,95",0.4912490055688146
262,74424.0,2014,3022.0,1521.0,128,gering besiedelt,"23,59",0.5033090668431502
263,74426.0,2014,2017.0,999.0,41,gering besiedelt,"49,31",0.49529003470500743
264,74423.0,2014,4711.0,2305.0,86,gering besiedelt,"54,83",0.489280407556782
265,74592.0,2014,4106.0,1946.0,100,gering besiedelt,"40,93",0.4739405747686313
266,74585.0,2014,5192.0,2582.0,69,gering besiedelt,"74,81",0.4973035439137134
267,74599.0,2014,3564.0,1751.0,140,gering besiedelt,"25,47",0.49130190796857465
268,74544.0,2014,3411.0,1706.0,193,gering besiedelt,"17,68",0.5001465845793023
269,74545.0,2014,3690.0,1809.0,105,gering besiedelt,"35,22",0.4902439024390244
270,74523.0,2014,37952.0,19673.0,364,mittlere Besiedlungsdichte,"104,23",0.5183653035413154
271,74538.0,2014,5067.0,2565.0,163,gering besiedelt,"31,01",0.5062166962699822
272,97993.0,2014,4708.0,2330.0,40,gering besiedelt,"117,22",0.4949022939677145
273,97896.0,2014,3760.0,1886.0,108,gering besiedelt,"34,78",0.5015957446808511
274,97900.0,2014,5234.0,2520.0,64,gering besiedelt,"81,46",0.4814673290026748
275,97996.0,2014,4868.0,2414.0,47,gering besiedelt,"104,06",0.4958915365653246
276,97990.0,2014,7288.0,3699.0,90,gering besiedelt,"80,92",0.5075466520307355
277,97877.0,2014,22461.0,11485.0,162,gering besiedelt,"138,63",0.5113307510796492
278,97922.0,2014,14443.0,7345.0,153,mittlere Besiedlungsdichte,"94,47",0.5085508550855086
279,97959.0,2014,2200.0,1113.0,128,gering besiedelt,"17,2",0.5059090909090909
280,97980.0,2014,22763.0,11781.0,175,mittlere Besiedlungsdichte,"129,97",0.5175504107542942
281,97999.0,2014,5496.0,2768.0,128,mittlere Besiedlungsdichte,"42,83",0.5036390101892285
282,97944.0,2014,6533.0,3254.0,64,gering besiedelt,"101,81",0.49808663707332007
